engine_id,cycle,op1,op2,op3,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21
1,1,20.0072,0.7,100.0,491.19,606.67,1481.04,1227.81,9.35,13.6,332.52,2323.67,8704.98,1.07,43.83,313.03,2387.78,8048.98,9.2229,0.02,362,2324,100.0,24.31,14.7007
1,2,24.9984,0.62,60.0,462.54,536.22,1256.17,1031.48,7.05,9.0,174.46,1915.21,7999.94,0.93,36.11,163.61,2028.09,7863.46,10.8632,0.02,306,1915,84.93,14.36,8.5748
1,3,42.0,0.842,100.0,445.0,549.23,1340.13,1105.88,3.91,5.69,137.34,2211.93,8305.38,1.01,41.52,129.98,2387.95,8071.13,9.396,0.02,328,2212,100.0,10.39,6.4365
1,4,42.0035,0.8402,100.0,445.0,549.19,1339.7,1107.26,3.91,5.69,137.23,2211.89,8301.0,1.01,41.73,129.48,2387.9,8078.89,9.3594,0.02,328,2212,100.0,10.56,6.2367
1,5,35.0079,0.84,100.0,449.44,555.1,1353.04,1117.8,5.48,7.97,192.94,2222.71,8331.05,1.02,41.32,181.82,2387.87,8057.83,9.303,0.02,333,2223,100.0,14.85,8.9326
1,6,25.001,0.6203,60.0,462.54,536.4,1255.38,1043.74,7.05,9.0,174.32,1915.27,8001.14,0.93,36.41,163.95,2028.12,7867.38,10.8661,0.02,304,1915,84.93,14.17,8.6135
1,7,19.9996,0.7015,100.0,491.19,607.29,1473.03,1230.62,9.35,13.6,332.63,2323.64,8708.79,1.07,43.94,312.77,2387.83,8052.97,9.1925,0.02,362,2324,100.0,24.52,14.6965
1,8,35.0015,0.8414,100.0,449.44,554.81,1361.07,1115.14,5.48,7.97,193.45,2222.76,8328.97,1.02,41.39,182.23,2387.84,8055.81,9.3004,0.02,331,2223,100.0,14.84,8.9004
1,9,19.998,0.7,100.0,491.19,607.35,1481.89,1240.15,9.35,13.6,332.27,2323.66,8705.64,1.07,43.79,312.2,2387.76,8052.46,9.1965,0.02,362,2324,100.0,24.34,14.6079
1,10,42.0033,0.8416,100.0,445.0,549.3,1342.24,1106.32,3.91,5.69,136.65,2211.85,8301.07,1.01,41.65,129.69,2387.97,8075.89,9.386,0.02,328,2212,100.0,10.45,6.383
1,11,19.9993,0.7,100.0,491.19,606.4,1477.69,1242.74,9.35,13.6,332.36,2323.66,8708.19,1.07,43.88,312.53,2387.82,8053.65,9.2631,0.02,362,2324,100.0,24.34,14.7355
1,12,9.9999,0.2519,100.0,489.05,604.29,1493.65,1289.53,10.52,15.46,392.08,2318.7,8768.02,1.25,44.96,369.9,2387.8,8121.43,8.6107,0.03,367,2319,100.0,28.57,17.0504
1,13,19.9993,0.7012,100.0,491.19,606.82,1466.62,1231.54,9.35,13.6,332.93,2323.61,8704.6,1.07,44.04,313.01,2387.84,8051.4,9.2228,0.02,362,2324,100.0,24.53,14.7373
1,14,9.999,0.2516,100.0,489.05,604.16,1496.37,1295.27,10.52,15.46,392.74,2318.61,8767.99,1.26,44.95,370.3,2387.78,8123.73,8.636,0.03,366,2319,100.0,28.65,17.186
1,15,35.006,0.84,100.0,449.44,555.01,1358.66,1109.37,5.48,7.97,193.44,2222.75,8329.86,1.02,41.48,181.58,2387.81,8057.34,9.3274,0.02,331,2223,100.0,14.9,9.0026
1,16,19.9985,0.7,100.0,491.19,606.96,1472.15,1234.45,9.35,13.6,332.41,2323.59,8707.4,1.07,44.08,312.56,2387.77,8045.55,9.2127,0.02,363,2324,100.0,24.27,14.7359
1,17,42.004,0.84,100.0,445.0,549.3,1348.98,1105.76,3.91,5.69,137.64,2211.87,8305.11,1.01,41.72,129.45,2388.03,8073.9,9.3735,0.02,327,2212,100.0,10.65,6.3648
1,18,41.9986,0.84,100.0,445.0,549.25,1343.94,1108.76,3.91,5.69,137.46,2211.9,8297.56,1.01,41.52,129.24,2387.98,8072.07,9.4051,0.02,329,2212,100.0,10.64,6.3878
1,19,42.0001,0.8419,100.0,445.0,548.72,1348.66,1115.83,3.91,5.69,137.99,2211.89,8305.76,1.01,41.65,129.77,2387.98,8066.56,9.3494,0.02,329,2212,100.0,10.72,6.2452
1,20,10.0077,0.2518,100.0,489.05,604.28,1491.5,1285.85,10.52,15.46,392.51,2318.67,8770.19,1.25,44.97,370.65,2387.79,8115.33,8.648,0.03,366,2319,100.0,28.47,17.166
1,21,0.0025,0.0,100.0,518.67,641.71,1574.39,1388.39,14.62,21.57,551.52,2387.57,9038.66,1.3,47.23,519.14,2387.58,8123.07,8.4127,0.03,390,2388,100.0,38.96,23.351
1,22,42.0046,0.84,100.0,445.0,549.17,1344.49,1107.66,3.91,5.69,137.42,2211.92,8305.35,1.01,41.38,129.43,2387.98,8073.4,9.3844,0.02,328,2212,100.0,10.57,6.3712
1,23,9.9999,0.25,100.0,489.05,604.11,1498.77,1291.1,10.52,15.46,393.1,2318.68,8770.44,1.25,44.86,370.65,2387.89,8123.07,8.6432,0.03,367,2319,100.0,28.72,17.0417
1,24,0.0003,0.0,100.0,518.67,641.75,1582.21,1395.07,14.62,21.57,550.59,2387.51,9031.6,1.3,47.12,519.22,2387.52,8122.35,8.4284,0.03,390,2388,100.0,39.06,23.2663
1,25,35.0036,0.8406,100.0,449.44,554.86,1356.61,1104.88,5.48,7.97,192.64,2222.81,8337.12,1.02,41.47,182.49,2387.83,8055.92,9.3279,0.02,330,2223,100.0,14.88,8.8443
1,26,24.9989,0.62,60.0,462.54,536.31,1255.57,1038.79,7.05,9.0,173.46,1915.19,8002.8,0.93,36.29,163.51,2028.13,7864.75,10.8579,0.02,306,1915,84.93,14.2,8.5318
1,27,19.999,0.7,100.0,491.19,606.51,1480.04,1242.68,9.35,13.6,332.46,2323.64,8707.9,1.07,44.01,312.41,2387.75,8050.25,9.2093,0.02,363,2324,100.0,24.43,14.712
1,28,42.0041,0.8412,100.0,445.0,549.28,1342.61,1111.7,3.91,5.69,137.76,2211.85,8297.79,1.01,41.48,129.48,2387.98,8068.83,9.3227,0.02,328,2212,100.0,10.61,6.3644
1,29,0.0017,0.0007,100.0,518.67,641.78,1584.67,1400.4,14.62,21.57,551.59,2387.37,9035.5,1.3,47.28,519.25,2387.41,8119.04,8.4242,0.03,390,2388,100.0,38.81,23.177
1,30,35.0029,0.84,100.0,449.44,555.6,1356.69,1110.29,5.48,7.97,192.76,2222.76,8342.7,1.02,41.23,181.35,2387.8,8064.33,9.3158,0.02,332,2223,100.0,14.78,8.9361
1,31,20.0003,0.7005,100.0,491.19,607.6,1475.52,1234.08,9.35,13.6,332.4,2323.64,8705.77,1.07,43.99,313.07,2387.82,8057.18,9.2321,0.02,362,2324,100.0,24.41,14.6467
1,32,10.007,0.25,100.0,489.05,604.29,1490.27,1296.75,10.52,15.46,393.11,2318.59,8760.07,1.25,44.91,370.17,2387.89,8118.31,8.5955,0.03,367,2319,100.0,28.53,17.0234
1,33,42.0075,0.84,100.0,445.0,549.46,1344.46,1107.09,3.91,5.7,138.15,2211.92,8301.44,1.02,41.54,129.47,2388.03,8069.94,9.378,0.02,329,2212,100.0,10.51,6.4359
1,34,25.0063,0.6203,60.0,462.54,536.17,1247.77,1041.29,7.05,9.0,174.79,1915.24,8000.1,0.94,36.25,163.59,2028.12,7860.91,10.8788,0.02,304,1915,84.93,14.32,8.4118
1,35,20.0003,0.7,100.0,491.19,606.91,1475.12,1227.18,9.35,13.6,331.98,2323.62,8698.86,1.07,43.83,312.2,2387.77,8051.95,9.1994,0.02,361,2324,100.0,24.29,14.6604
